frame,point_id,x,y,u,v,displacement
115,0,168.13153,230.58963,-30.86847,76.58963,82.57623
115,1,255.4488,174.31773,27.448807,34.317734,43.944782
115,2,301.8514,280.68436,63.85141,112.68436,129.51744
115,3,318.09476,155.55823,60.094757,11.558228,61.19618
116,0,169.07811,231.53877,-29.92189,77.53877,83.111855
116,1,256.47363,174.7983,28.473633,34.798294,44.962975
116,2,303.34616,280.923,65.34616,112.923004,130.46733
116,3,318.92767,155.97102,60.927673,11.971024,62.092567
117,0,169.80302,232.80553,-29.196976,78.80553,84.04031
117,1,257.7199,176.69595,29.71991,36.695953,47.22146
